Year,DayOfWeek,Shift,Country,State,Local,Industry Sector,Accident Severity,Potential Severity,Accident Type,Gender,Age,Employee Type,Critical Risk,Damage Index,Hour Type,Safety Gear,Month
2018,Monday,Night,India,Uttar Pradesh,Uttar Pradesh_Local_11,Electronics,Handicapped,Moderate,Machinery Accident,Male,41,Third Party,Slip/Trip,9259,Overtime,No,January
2020,Saturday,Morning,India,Haryana,Haryana_Local_11,Construction,Minor Injury,Low,Manual Handling,Male,35,Outsider,Electric Shock,2500,Overtime,No,March
2020,Thursday,Morning,India,Assam,Assam_Local_6,Textiles,Minor Injury,Low,Machinery Accident,Male,56,Employee,Manual Tools,6891,Working Hours,Yes,December
2019,Saturday,Afternoon,India,Andhra Pradesh,Andhra Pradesh_Local_10,Petrochemicals,Minor Injury,Low,Fire,Male,55,Outsider,Slip/Trip,3257,Working Hours,No,August
2019,Sunday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_9,Pharmaceuticals,Severe Injury,High,Electrical Fault,Male,33,Outsider,Pressure Systems,5126,Overtime,No,July
2017,Monday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_12,Cement,Minor Injury,Low,Structural Collapse,Male,50,Outsider,Mechanical Impact,1872,Working Hours,No,July
2020,Tuesday,Night,India,Karnataka,Karnataka_Local_11,Pharmaceuticals,Severe Injury,High,Electrical Fault,Male,36,Outsider,Pressure Systems,9218,Working Hours,Yes,April
2016,Thursday,Morning,India,Assam,Assam_Local_15,Cement,Handicapped,Moderate,Fire,Male,51,Third Party,Fall from Height,4085,Overtime,No,February
2017,Tuesday,Morning,India,Tamil Nadu,Tamil Nadu_Local_7,Petrochemicals,Severe Injury,High,Chemical Spill,Male,55,Employee,Manual Tools,7730,Working Hours,No,August
2015,Wednesday,Night,India,Assam,Assam_Local_4,Electronics,Handicapped,Moderate,Electrical Fault,Male,30,Outsider,Chemical Exposure,1150,Overtime,Yes,September
2015,Friday,Morning,India,Odisha,Odisha_Local_15,Steel,Minor Injury,Low,Machinery Accident,Male,31,Employee,Fall from Height,1800,Overtime,Yes,March
2016,Friday,Night,India,Telangana,Telangana_Local_6,Textiles,Minor Injury,Low,Fire,Female,27,Outsider,Electric Shock,2732,Overtime,Yes,December
2019,Wednesday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_2,Construction,Severe Injury,High,Structural Collapse,Female,53,Employee,Electric Shock,9805,Working Hours,No,April
2020,Friday,Night,India,Telangana,Telangana_Local_14,Cement,Minor Injury,Low,Structural Collapse,Male,35,Employee,Heavy Machinery,7826,Overtime,No,October
2015,Sunday,Afternoon,India,Rajasthan,Rajasthan_Local_12,Steel,Minor Injury,Low,Structural Collapse,Male,53,Outsider,Chemical Exposure,313,Working Hours,No,July
2020,Friday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_14,Electronics,Severe Injury,High,Machinery Accident,Male,40,Outsider,Gas Leak,5631,Working Hours,Yes,March
2017,Sunday,Morning,India,Karnataka,Karnataka_Local_9,Electronics,Handicapped,Moderate,Explosion,Male,54,Outsider,Pressure Systems,7972,Working Hours,No,October
2019,Friday,Afternoon,India,Bihar,Bihar_Local_1,Electronics,Minor Injury,Low,Machinery Accident,Female,34,Outsider,Fire/Explosion,9082,Working Hours,No,October
2020,Sunday,Afternoon,India,Haryana,Haryana_Local_8,Electronics,Handicapped,Moderate,Fall from Height,Male,36,Employee,Fall from Height,4848,Working Hours,Yes,March
2020,Thursday,Afternoon,India,Haryana,Haryana_Local_13,Pharmaceuticals,Severe Injury,High,Manual Handling,Female,39,Third Party,Electric Shock,4630,Working Hours,Yes,December
2019,Tuesday,Night,India,Gujarat,Gujarat_Local_4,Steel,Minor Injury,Low,Structural Collapse,Male,28,Third Party,Pressure Systems,6124,Overtime,No,May
2018,Wednesday,Afternoon,India,Assam,Assam_Local_3,Cement,Handicapped,Moderate,Chemical Spill,Female,38,Third Party,Electric Shock,4387,Working Hours,No,September
2018,Saturday,Afternoon,India,Tamil Nadu,Tamil Nadu_Local_5,Petrochemicals,Minor Injury,Low,Explosion,Male,56,Third Party,Manual Tools,524,Working Hours,No,October
2020,Wednesday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_4,Cement,Minor Injury,Low,Chemical Spill,Male,36,Third Party,Mechanical Impact,2498,Working Hours,No,February
2015,Sunday,Afternoon,India,Punjab,Punjab_Local_3,Construction,Handicapped,Moderate,Fire,Male,54,Outsider,Electric Shock,3401,Working Hours,No,August
2020,Monday,Morning,India,Karnataka,Karnataka_Local_9,Fertilizers,Handicapped,Moderate,Fire,Male,47,Employee,Electric Shock,6445,Overtime,No,October
2020,Saturday,Afternoon,India,Odisha,Odisha_Local_11,Fertilizers,Handicapped,Moderate,Slips/Trips,Male,55,Outsider,Electric Shock,1208,Working Hours,No,June
2015,Saturday,Night,India,Gujarat,Gujarat_Local_6,Automobiles,Minor Injury,Low,Electrical Fault,Female,56,Third Party,Chemical Exposure,5673,Overtime,No,August
2015,Sunday,Morning,India,Tamil Nadu,Tamil Nadu_Local_8,Cement,Minor Injury,Low,Manual Handling,Male,50,Outsider,Fall from Height,404,Working Hours,Yes,September
2016,Friday,Morning,India,Odisha,Odisha_Local_6,Pharmaceuticals,Handicapped,Moderate,Fire,Male,43,Third Party,Slip/Trip,3748,Working Hours,No,December
2019,Wednesday,Afternoon,India,Gujarat,Gujarat_Local_1,Petrochemicals,Severe Injury,High,Fire,Male,42,Employee,Pressure Systems,7064,Working Hours,Yes,December
2018,Sunday,Afternoon,India,Odisha,Odisha_Local_2,Automobiles,Handicapped,Moderate,Electrical Fault,Female,26,Outsider,Manual Tools,9943,Working Hours,Yes,September
2018,Saturday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_6,Steel,Severe Injury,High,Explosion,Female,26,Third Party,Chemical Exposure,5014,Overtime,Yes,May
2019,Sunday,Morning,India,Telangana,Telangana_Local_9,Mining,Fatal,High,Slips/Trips,Male,37,Outsider,Mechanical Impact,8925,Overtime,Yes,June
2017,Wednesday,Morning,India,Assam,Assam_Local_8,Mining,Minor Injury,Low,Structural Collapse,Male,28,Outsider,Pressure Systems,6987,Working Hours,No,July
2020,Wednesday,Night,India,Maharashtra,Maharashtra_Local_7,Textiles,Severe Injury,High,Fire,Male,45,Third Party,Manual Tools,5190,Overtime,No,June
2015,Sunday,Afternoon,India,Maharashtra,Maharashtra_Local_1,Petrochemicals,Minor Injury,Low,Manual Handling,Male,39,Third Party,Mechanical Impact,9718,Working Hours,No,January
2020,Monday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_10,Petrochemicals,Fatal,High,Manual Handling,Female,28,Outsider,Fire/Explosion,3039,Overtime,No,May
2018,Friday,Afternoon,India,Punjab,Punjab_Local_14,Construction,Minor Injury,Low,Manual Handling,Male,44,Outsider,Gas Leak,3320,Working Hours,No,October
2020,Wednesday,Afternoon,India,Haryana,Haryana_Local_6,Cement,Handicapped,Moderate,Manual Handling,Male,32,Employee,Pressure Systems,9455,Overtime,No,August
2017,Monday,Morning,India,Maharashtra,Maharashtra_Local_5,Electronics,Severe Injury,High,Explosion,Male,54,Third Party,Slip/Trip,325,Working Hours,No,September
2019,Saturday,Afternoon,India,Gujarat,Gujarat_Local_14,Cement,Severe Injury,High,Chemical Spill,Female,51,Outsider,Mechanical Impact,4345,Overtime,No,August
2017,Sunday,Night,India,Rajasthan,Rajasthan_Local_13,Automobiles,Severe Injury,High,Explosion,Male,45,Third Party,Fall from Height,3834,Overtime,No,June
2015,Saturday,Morning,India,West Bengal,West Bengal_Local_11,Petrochemicals,Handicapped,Moderate,Slips/Trips,Male,25,Third Party,Heavy Machinery,8595,Overtime,No,December
2017,Thursday,Morning,India,Rajasthan,Rajasthan_Local_14,Electronics,Minor Injury,Low,Explosion,Female,43,Outsider,Gas Leak,7107,Working Hours,Yes,August
2018,Friday,Morning,India,Bihar,Bihar_Local_11,Mining,Minor Injury,Low,Slips/Trips,Male,43,Employee,Chemical Exposure,9905,Working Hours,Yes,May
2015,Thursday,Morning,India,Bihar,Bihar_Local_10,Mining,Minor Injury,Low,Structural Collapse,Male,39,Third Party,Mechanical Impact,407,Working Hours,Yes,November
2019,Tuesday,Afternoon,India,Maharashtra,Maharashtra_Local_3,Textiles,Handicapped,Moderate,Machinery Accident,Male,26,Outsider,Electric Shock,2739,Working Hours,No,November
2018,Monday,Afternoon,India,Odisha,Odisha_Local_6,Pharmaceuticals,Fatal,High,Chemical Spill,Male,54,Employee,Electric Shock,2013,Working Hours,No,April
2018,Monday,Night,India,Odisha,Odisha_Local_11,Cement,Minor Injury,Low,Slips/Trips,Female,33,Employee,Mechanical Impact,5718,Working Hours,No,January
2020,Thursday,Afternoon,India,Gujarat,Gujarat_Local_14,Construction,Minor Injury,Low,Vehicle Collision,Male,50,Third Party,Fall from Height,8124,Working Hours,Yes,October
2017,Thursday,Night,India,Tamil Nadu,Tamil Nadu_Local_14,Construction,Minor Injury,Low,Structural Collapse,Male,48,Outsider,Electric Shock,5754,Working Hours,Yes,March
2016,Friday,Night,India,Assam,Assam_Local_13,Steel,Minor Injury,Low,Machinery Accident,Male,50,Outsider,Fire/Explosion,5840,Overtime,No,March
2017,Wednesday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_9,Pharmaceuticals,Handicapped,Moderate,Fire,Male,31,Outsider,Heavy Machinery,3768,Working Hours,No,August
2015,Tuesday,Night,India,Rajasthan,Rajasthan_Local_5,Fertilizers,Handicapped,Moderate,Slips/Trips,Male,40,Third Party,Manual Tools,8038,Working Hours,No,December
2019,Thursday,Afternoon,India,Chhattisgarh,Chhattisgarh_Local_7,Textiles,Minor Injury,Low,Electrical Fault,Female,37,Outsider,Slip/Trip,9766,Working Hours,No,March
2018,Wednesday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_14,Automobiles,Fatal,High,Manual Handling,Male,56,Employee,Fall from Height,9553,Working Hours,No,December
2018,Friday,Afternoon,India,Gujarat,Gujarat_Local_6,Automobiles,Handicapped,Moderate,Vehicle Collision,Female,37,Outsider,Electric Shock,3313,Working Hours,No,March
2020,Sunday,Afternoon,India,Chhattisgarh,Chhattisgarh_Local_14,Petrochemicals,Minor Injury,Low,Manual Handling,Male,48,Third Party,Electric Shock,2837,Working Hours,No,September
2018,Thursday,Night,India,Uttar Pradesh,Uttar Pradesh_Local_14,Steel,Fatal,High,Structural Collapse,Male,50,Third Party,Fire/Explosion,931,Overtime,Yes,April
2016,Friday,Afternoon,India,Telangana,Telangana_Local_8,Automobiles,Fatal,High,Machinery Accident,Female,53,Third Party,Manual Tools,6741,Overtime,No,May
2015,Sunday,Morning,India,Punjab,Punjab_Local_15,Construction,Handicapped,Moderate,Vehicle Collision,Female,52,Outsider,Chemical Exposure,4918,Working Hours,Yes,July
2020,Sunday,Night,India,Bihar,Bihar_Local_4,Automobiles,Handicapped,Moderate,Vehicle Collision,Male,50,Outsider,Chemical Exposure,769,Overtime,No,April
2018,Thursday,Night,India,Karnataka,Karnataka_Local_1,Automobiles,Fatal,High,Vehicle Collision,Female,36,Third Party,Manual Tools,3032,Overtime,Yes,December
2018,Sunday,Afternoon,India,Karnataka,Karnataka_Local_1,Cement,Handicapped,Moderate,Manual Handling,Female,40,Third Party,Manual Tools,4642,Overtime,No,March
2015,Wednesday,Night,India,Rajasthan,Rajasthan_Local_1,Textiles,Fatal,High,Electrical Fault,Female,40,Outsider,Electric Shock,3153,Overtime,No,May
2015,Thursday,Morning,India,Maharashtra,Maharashtra_Local_9,Electronics,Severe Injury,High,Manual Handling,Male,51,Third Party,Fire/Explosion,3922,Working Hours,No,October
2020,Tuesday,Night,India,Karnataka,Karnataka_Local_9,Construction,Severe Injury,High,Chemical Spill,Male,39,Outsider,Pressure Systems,5796,Working Hours,Yes,June
2015,Friday,Night,India,Tamil Nadu,Tamil Nadu_Local_7,Fertilizers,Fatal,High,Fire,Male,32,Third Party,Manual Tools,614,Working Hours,No,January
2020,Wednesday,Afternoon,India,Telangana,Telangana_Local_9,Automobiles,Handicapped,Moderate,Manual Handling,Male,52,Third Party,Fall from Height,569,Working Hours,No,January
2020,Sunday,Night,India,West Bengal,West Bengal_Local_5,Fertilizers,Severe Injury,High,Manual Handling,Male,35,Employee,Pressure Systems,1881,Overtime,Yes,November
2019,Monday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_4,Cement,Minor Injury,Low,Structural Collapse,Male,42,Outsider,Electric Shock,3315,Working Hours,No,August
2020,Saturday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_5,Steel,Minor Injury,Low,Manual Handling,Male,38,Outsider,Mechanical Impact,4864,Working Hours,No,January
2015,Wednesday,Afternoon,India,Haryana,Haryana_Local_15,Construction,Handicapped,Moderate,Fall from Height,Male,30,Outsider,Slip/Trip,9511,Working Hours,Yes,March
2019,Friday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_4,Pharmaceuticals,Minor Injury,Low,Electrical Fault,Male,55,Employee,Heavy Machinery,7838,Working Hours,No,December
2016,Tuesday,Night,India,Odisha,Odisha_Local_5,Steel,Fatal,High,Manual Handling,Male,50,Third Party,Gas Leak,2136,Working Hours,No,January
2018,Friday,Morning,India,Chhattisgarh,Chhattisgarh_Local_13,Fertilizers,Minor Injury,Low,Explosion,Male,41,Outsider,Pressure Systems,1479,Working Hours,No,February
2018,Tuesday,Morning,India,Gujarat,Gujarat_Local_2,Petrochemicals,Severe Injury,High,Manual Handling,Male,48,Outsider,Fall from Height,1382,Overtime,No,June
2020,Sunday,Afternoon,India,Bihar,Bihar_Local_2,Construction,Severe Injury,High,Structural Collapse,Male,52,Outsider,Mechanical Impact,1177,Working Hours,Yes,May
2017,Thursday,Afternoon,India,Tamil Nadu,Tamil Nadu_Local_1,Cement,Severe Injury,High,Machinery Accident,Male,43,Third Party,Electric Shock,4585,Overtime,Yes,November
2019,Sunday,Afternoon,India,Assam,Assam_Local_5,Mining,Minor Injury,Low,Explosion,Male,38,Outsider,Gas Leak,6342,Working Hours,No,September
2018,Monday,Night,India,Punjab,Punjab_Local_15,Pharmaceuticals,Minor Injury,Low,Electrical Fault,Male,51,Third Party,Fire/Explosion,4443,Working Hours,Yes,June
2018,Friday,Night,India,Haryana,Haryana_Local_13,Steel,Severe Injury,High,Machinery Accident,Female,47,Outsider,Heavy Machinery,8190,Working Hours,No,June
2016,Friday,Afternoon,India,Bihar,Bihar_Local_10,Construction,Severe Injury,High,Manual Handling,Male,42,Employee,Pressure Systems,7884,Working Hours,No,April
2015,Thursday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_4,Pharmaceuticals,Handicapped,Moderate,Machinery Accident,Male,56,Third Party,Fall from Height,6371,Working Hours,No,July
2019,Monday,Afternoon,India,Telangana,Telangana_Local_11,Petrochemicals,Severe Injury,High,Chemical Spill,Female,32,Outsider,Electric Shock,2960,Working Hours,Yes,June
2017,Friday,Night,India,Rajasthan,Rajasthan_Local_2,Textiles,Severe Injury,High,Machinery Accident,Female,51,Third Party,Electric Shock,3362,Overtime,No,April
2016,Sunday,Afternoon,India,Assam,Assam_Local_9,Electronics,Handicapped,Moderate,Explosion,Male,56,Outsider,Fall from Height,1347,Working Hours,No,July
2018,Friday,Afternoon,India,Madhya Pradesh,Madhya Pradesh_Local_11,Steel,Severe Injury,High,Slips/Trips,Female,48,Third Party,Chemical Exposure,2594,Working Hours,No,May
2017,Friday,Afternoon,India,Gujarat,Gujarat_Local_2,Steel,Handicapped,Moderate,Explosion,Male,47,Outsider,Pressure Systems,5356,Working Hours,No,July
2020,Friday,Night,India,Chhattisgarh,Chhattisgarh_Local_10,Steel,Fatal,High,Electrical Fault,Female,27,Employee,Fall from Height,4666,Overtime,Yes,February
2015,Tuesday,Night,India,Andhra Pradesh,Andhra Pradesh_Local_1,Construction,Severe Injury,High,Slips/Trips,Male,31,Outsider,Mechanical Impact,9765,Working Hours,Yes,October
2019,Friday,Afternoon,India,Haryana,Haryana_Local_15,Textiles,Handicapped,Moderate,Manual Handling,Male,27,Third Party,Heavy Machinery,4474,Working Hours,Yes,March
2015,Monday,Morning,India,Bihar,Bihar_Local_4,Electronics,Handicapped,Moderate,Fall from Height,Female,31,Employee,Heavy Machinery,1812,Working Hours,No,November
2019,Saturday,Afternoon,India,Punjab,Punjab_Local_13,Pharmaceuticals,Minor Injury,Low,Fire,Male,47,Outsider,Gas Leak,711,Working Hours,No,February
2020,Friday,Afternoon,India,Bihar,Bihar_Local_6,Mining,Minor Injury,Low,Structural Collapse,Male,39,Employee,Electric Shock,656,Working Hours,No,March
2015,Sunday,Morning,India,Telangana,Telangana_Local_9,Mining,Fatal,High,Explosion,Female,38,Third Party,Mechanical Impact,8385,Overtime,No,June
2020,Sunday,Morning,India,Gujarat,Gujarat_Local_3,Steel,Severe Injury,High,Electrical Fault,Male,56,Third Party,Fire/Explosion,2713,Working Hours,No,May
2019,Friday,Morning,India,Maharashtra,Maharashtra_Local_6,Cement,Severe Injury,High,Manual Handling,Male,37,Third Party,Manual Tools,4056,Working Hours,No,November
2017,Saturday,Night,India,Bihar,Bihar_Local_2,Automobiles,Fatal,High,Fall from Height,Male,28,Third Party,Chemical Exposure,5245,Overtime,No,January
2015,Tuesday,Afternoon,India,Assam,Assam_Local_9,Automobiles,Minor Injury,Low,Manual Handling,Female,38,Third Party,Pressure Systems,4387,Working Hours,No,August
2016,Sunday,Night,India,Gujarat,Gujarat_Local_12,Automobiles,Fatal,High,Vehicle Collision,Male,45,Outsider,Pressure Systems,9138,Overtime,No,April
2015,Monday,Night,India,Rajasthan,Rajasthan_Local_14,Textiles,Severe Injury,High,Electrical Fault,Male,33,Employee,Mechanical Impact,9165,Overtime,No,April
2016,Sunday,Afternoon,India,Rajasthan,Rajasthan_Local_7,Steel,Handicapped,Moderate,Structural Collapse,Male,49,Outsider,Pressure Systems,1853,Working Hours,Yes,December
2019,Sunday,Night,India,Uttar Pradesh,Uttar Pradesh_Local_15,Pharmaceuticals,Minor Injury,Low,Fall from Height,Male,38,Outsider,Fall from Height,6127,Working Hours,No,July
2019,Monday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_13,Automobiles,Minor Injury,Low,Vehicle Collision,Male,34,Third Party,Electric Shock,4900,Working Hours,No,September
2015,Saturday,Afternoon,India,Assam,Assam_Local_12,Textiles,Minor Injury,Low,Machinery Accident,Female,26,Outsider,Pressure Systems,6705,Working Hours,No,January
2019,Saturday,Night,India,Andhra Pradesh,Andhra Pradesh_Local_4,Textiles,Severe Injury,High,Vehicle Collision,Male,52,Outsider,Fire/Explosion,6621,Overtime,No,June
2015,Tuesday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_11,Textiles,Minor Injury,Low,Machinery Accident,Male,42,Outsider,Manual Tools,4304,Working Hours,No,November
2018,Wednesday,Night,India,Punjab,Punjab_Local_2,Mining,Handicapped,Moderate,Structural Collapse,Male,52,Employee,Mechanical Impact,9499,Overtime,No,December
2018,Friday,Afternoon,India,Haryana,Haryana_Local_1,Electronics,Severe Injury,High,Structural Collapse,Female,49,Employee,Chemical Exposure,2389,Working Hours,No,May
2020,Saturday,Night,India,Assam,Assam_Local_6,Textiles,Fatal,High,Machinery Accident,Female,54,Employee,Fall from Height,2673,Working Hours,Yes,May
2017,Tuesday,Night,India,Karnataka,Karnataka_Local_1,Pharmaceuticals,Severe Injury,High,Electrical Fault,Female,42,Outsider,Fall from Height,8095,Working Hours,Yes,January
2018,Wednesday,Afternoon,India,Telangana,Telangana_Local_12,Mining,Handicapped,Moderate,Slips/Trips,Male,50,Outsider,Pressure Systems,4807,Working Hours,No,August
2020,Sunday,Night,India,Punjab,Punjab_Local_12,Fertilizers,Severe Injury,High,Fire,Male,29,Outsider,Gas Leak,6062,Working Hours,Yes,June
